City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
berezhany,35,UA,1584526563,37,49.45,24.93,53.6,2.24
hilo,90,US,1584526405,83,19.73,-155.09,73.99,12.75
yar-sale,0,RU,1584526565,85,66.83,70.83,18.82,14.0
abu samrah,99,SY,1584526566,65,35.3,37.18,49.98,27.18
cherskiy,100,RU,1584526567,96,68.75,161.3,-9.42,5.35
jamestown,1,US,1584526569,100,42.1,-79.24,37.4,4.7
mataura,99,NZ,1584526570,87,-46.19,168.86,53.01,1.61
kavieng,100,PG,1584526571,84,-2.57,150.8,80.58,13.53
saldanha,40,ZA,1584526572,77,-33.01,17.94,73.4,2.24
qaanaaq,74,GL,1584526573,51,77.48,-69.36,-18.6,7.0
russell,1,US,1584526574,100,32.35,-85.2,64.0,4.63
hithadhoo,48,MV,1584526575,69,-0.6,73.08,85.26,5.5
hermanus,81,ZA,1584526576,85,-34.42,19.23,75.99,1.01
punta arenas,75,CL,1584526322,66,-53.15,-70.92,55.4,33.33
tuatapere,99,NZ,1584526578,87,-46.13,167.68,53.01,4.03
tuktoyaktuk,75,CA,1584526580,89,69.45,-133.04,2.1,13.71
mar del plata,100,AR,1584526581,93,-38.0,-57.56,63.0,10.38
bluff,67,NZ,1584526582,87,-46.6,168.33,53.01,4.59
torbay,90,CA,1584526583,95,47.67,-52.73,36.0,21.92
eureka,90,US,1584526584,87,40.8,-124.16,44.6,3.36
avarua,100,CK,1584526585,88,-21.21,-159.78,80.6,14.99
ilulissat,99,GL,1584526586,46,69.22,-51.1,8.6,25.28
kapaa,75,US,1584526587,94,22.08,-159.32,75.2,9.17
ushuaia,75,AR,1584526588,93,-54.8,-68.3,48.2,24.16
maniitsoq,100,GL,1584526590,79,65.42,-52.9,19.02,25.81
general roca,0,AR,1584526591,87,-39.03,-67.58,57.2,4.83
cape town,20,ZA,1584526577,60,-33.93,18.42,75.99,17.22
buraydah,0,SA,1584526593,34,26.33,43.98,78.8,9.17
barrow,90,US,1584526594,92,71.29,-156.79,19.4,11.41
upernavik,100,GL,1584526595,55,72.79,-56.15,-3.48,5.91
marsa matruh,40,EG,1584526596,51,31.35,27.25,60.8,14.99
rikitea,9,PF,1584526597,79,-23.12,-134.97,79.86,8.75
buala,98,SB,1584526598,80,-8.14,159.59,81.48,2.44
mogadishu,40,SO,1584526599,62,2.04,45.34,87.8,14.99
shingu,75,JP,1584526600,54,33.73,135.98,59.0,2.24
talcahuano,0,CL,1584526602,100,-36.72,-73.12,53.6,5.82
hailar,59,CN,1584526603,96,49.2,119.7,27.48,14.34
kuusamo,75,FI,1584526396,74,65.97,29.18,33.8,14.99
ballitoville,0,ZA,1584526605,65,-29.54,31.21,80.01,8.05
cidreira,100,BR,1584526606,85,-30.18,-50.21,74.28,23.4
katsuura,40,JP,1584526607,41,35.13,140.3,60.8,8.05
mehamn,75,NO,1584526608,80,71.04,27.85,32.0,17.22
provideniya,100,RU,1584526610,98,64.38,-173.3,25.5,7.87
hamilton,1,US,1584526508,86,39.18,-84.53,39.99,3.36
nuuk,100,GL,1584526612,73,64.18,-51.72,24.8,23.04
matagami,1,CA,1584526613,83,49.75,-77.63,-11.2,2.24
taitung,75,TW,1584526614,73,22.76,121.14,71.6,2.24
grindavik,90,IS,1584526545,92,63.84,-22.43,30.2,27.51
atuona,100,PF,1584526616,77,-9.8,-139.03,82.56,11.23
castro,48,BR,1584526617,99,-24.79,-50.01,64.02,4.83
kieta,0,PG,1584526619,69,-6.22,155.63,84.18,1.81
san patricio,0,MX,1584526620,83,19.22,-104.7,73.38,5.19
iqaluit,90,CA,1584526621,77,63.75,-68.51,6.8,9.17
necochea,56,AR,1584526622,96,-38.55,-58.74,57.0,3.0
yellowknife,5,CA,1584526623,75,62.46,-114.35,-13.0,3.36
guerrero negro,6,MX,1584526624,73,27.98,-114.06,60.22,3.13
nome,90,US,1584526341,94,64.5,-165.41,28.99,16.11
zalesovo,96,RU,1584526626,87,53.99,84.74,29.28,18.37
georgetown,20,MY,1584526627,62,5.41,100.34,89.6,6.93
cabo san lucas,82,MX,1584526517,74,22.89,-109.91,66.99,3.71
dunedin,100,NZ,1584526630,82,-45.87,170.5,55.0,3.0
hofn,90,IS,1584526631,80,64.25,-15.21,33.8,10.29
esperance,0,AU,1584526632,43,-33.87,121.9,69.8,17.22
santa lucia,40,ES,1584526633,48,27.91,-15.54,64.99,14.99
cairns,75,AU,1584526393,88,-16.92,145.77,73.99,12.75
clyde river,75,CA,1584526635,75,70.47,-68.59,-14.8,21.92
nampula,75,MZ,1584526636,58,-15.12,39.27,86.0,9.17
tasiilaq,20,GL,1584526637,60,65.61,-37.64,5.0,3.36
iquitos,75,PE,1584526638,94,-3.75,-73.25,73.4,3.36
